test - INFO - 2018-05-11 14:08:37,520 - info
test - WARNING - 2018-05-11 14:08:37,521 - warning
test - INFO - 2018-05-11 14:15:36,864 - info
test - WARNING - 2018-05-11 14:15:36,864 - warning
2018-05-11 15:38:32,788 - INFO - test - info
2018-05-11 15:38:32,790 - WARNING - test - warning
2018-05-12 14:02:10,812 - WARNING - /Users/zhouzhirui/project/Task-Oriented-Chatbot/chatbot/preprocessing/seg.py - cut function only support list, but str input
2018-05-12 14:04:17,841 - WARNING - /Users/zhouzhirui/project/Task-Oriented-Chatbot/chatbot/preprocessing/seg.py - cut function only support list, but str input
2018-05-12 14:04:38,900 - WARNING - /Users/zhouzhirui/project/Task-Oriented-Chatbot/chatbot/preprocessing/seg.py - cut function only support list, but str input
2018-05-12 14:06:33,545 - WARNING - /Users/zhouzhirui/project/Task-Oriented-Chatbot/chatbot/preprocessing/seg.py - cut function only support list, but str input
2018-05-12 14:07:54,831 - WARNING - /Users/zhouzhirui/project/Task-Oriented-Chatbot/chatbot/preprocessing/seg.py - cut function only support list, but str input
2018-05-12 14:08:06,495 - WARNING - /Users/zhouzhirui/project/Task-Oriented-Chatbot/chatbot/preprocessing/seg.py - cut function only support list, but str input
2018-05-12 14:15:20,799 - WARNING - /Users/zhouzhirui/project/Task-Oriented-Chatbot/chatbot/preprocessing/seg.py - cut function only support list, but str input
2018-05-12 14:24:53,965 - INFO - timing - cutrunning 0.00 min
2018-05-12 14:25:05,766 - INFO - timing - cutrunning 0.02 min
2018-05-12 14:25:19,918 - INFO - timing - cutrunning 0.02 min
2018-05-12 14:25:23,120 - INFO - timing - cutrunning 0.05 min
2018-05-12 14:43:44,202 - INFO - timing - cut running 0.02 min
2018-05-12 14:43:47,332 - INFO - timing - cut running 0.05 min
2018-05-12 16:42:41,381 - INFO - timing - cut running 0.02 min
2018-05-12 16:42:44,597 - INFO - timing - cut running 0.05 min
2018-05-12 16:43:01,874 - INFO - timing - cut2 running 0.05 min
2018-05-12 16:43:18,244 - INFO - timing - cut2 running 0.15 min
2018-05-12 16:52:32,137 - INFO - timing - cut running 0.02 min
2018-05-12 18:51:15,250 - INFO - word2vec - saved %d articles
2018-05-12 18:51:28,049 - INFO - word2vec - saved %d articles
2018-05-12 18:51:38,493 - INFO - word2vec - saved %d articles
2018-05-12 18:51:47,924 - INFO - word2vec - saved %d articles
2018-05-12 18:51:57,531 - INFO - word2vec - saved %d articles
2018-05-12 18:52:07,621 - INFO - word2vec - saved %d articles
2018-05-12 18:52:17,952 - INFO - word2vec - saved %d articles
2018-05-12 18:52:27,586 - INFO - word2vec - saved %d articles
2018-05-12 18:52:37,286 - INFO - word2vec - saved %d articles
2018-05-12 18:52:46,928 - INFO - word2vec - saved %d articles
2018-05-12 18:52:57,786 - INFO - word2vec - saved %d articles
2018-05-12 18:53:11,796 - INFO - word2vec - saved %d articles
2018-05-12 18:53:24,355 - INFO - word2vec - saved %d articles
2018-05-12 18:53:37,300 - INFO - word2vec - saved %d articles
2018-05-12 18:53:50,773 - INFO - word2vec - saved %d articles
2018-05-12 18:54:04,844 - INFO - word2vec - saved %d articles
2018-05-12 18:54:18,335 - INFO - word2vec - saved %d articles
2018-05-12 18:54:30,971 - INFO - word2vec - saved %d articles
2018-05-12 18:54:44,991 - INFO - word2vec - saved %d articles
2018-05-12 18:55:51,071 - INFO - word2vec - saved %d articles
2018-05-12 18:56:18,241 - INFO - word2vec - saved %d articles
2018-05-12 18:56:39,267 - INFO - word2vec - saved %d articles
2018-05-12 18:56:55,719 - INFO - word2vec - saved %d articles
2018-05-12 18:57:12,259 - INFO - word2vec - saved %d articles
2018-05-12 18:57:29,368 - INFO - word2vec - saved %d articles
2018-05-12 18:57:48,192 - INFO - word2vec - saved %d articles
2018-05-12 18:58:04,657 - INFO - word2vec - saved %d articles
2018-05-12 18:58:22,216 - INFO - word2vec - saved %d articles
2018-05-12 18:58:38,288 - INFO - word2vec - saved %d articles
2018-05-12 18:58:52,480 - INFO - word2vec - saved %d articles
2018-05-12 18:59:09,607 - INFO - word2vec - saved %d articles
2018-05-12 18:59:28,188 - INFO - word2vec - saved %d articles
2018-05-12 18:59:36,096 - INFO - word2vec - Finished extract wiki, Saved in wiki.simple_cn.corpus
2018-05-12 18:59:36,096 - INFO - timing - wiki_extract running 18.36 min
2018-05-14 14:35:08,012 - INFO - Text Preprocessing T2S - t2s 0 lines complete
2018-05-14 14:35:08,042 - INFO - Text Preprocessing T2S - Finished Text T2S
