name,text,label
令狐,你们可以做发电机组安装吗,业务咨询
令狐,最新的电费标准有哪些,文件检索
瀟雨,最近一个月来福士广场用电总量,用电查询
令狐,我们公司月平均电量是多少？,用电查询
令狐,你们可以做总包吗？,公司咨询
憨笑米兔,哪些售电公司具有配电资质,公司咨询
憨笑米兔,我公司在天府新区，你们可以承接维修业务吗,业务咨询
令狐,你们公司是集团公司吗？,公司咨询
nicholas,你们做电力施工吗,业务咨询
nicholas,你们公司可以替客户办理供电方案咨询业务吗,业务咨询
nicholas,你们公司有电力设计资质吗,业务咨询
令狐,政府补贴电价有哪些规定,文件检索
令狐,对于用电接入方案有哪些文件？,文件检索
令狐,本月哪个设备用电量最大,用电查询
令狐,用电量异常的有哪些？,用电查询
nicholas,用电量高峰在哪个时段,用电查询
迟景华,报警代码xxx,用电查询
令狐,35kv的工程你们做吗？,业务咨询
迟景华,运维负责人电话？,业务咨询
令狐,我们配电室电缆头炸了怎么处理？,业务咨询
迟景华,有购电合同模版吗？,文件检索
迟景华,用电分析报告包括哪些内容？,业务咨询
令狐,我公司要求机电工程总承包二级资质,公司咨询
令狐,国企还是民营的？是独立法人吗？,公司咨询
RumblinWreck,有山西的市场交易文件吗？,文件检索
RumblinWreck,有陕西的市场交易文件吗？,文件检索
RumblinWreck,有江苏的市场交易文件吗？,文件检索
RumblinWreck,有重庆的交易结算文件吗？,文件检索
令狐,我们年用电量200万度可以参与电力交易吗？,业务咨询
RumblinWreck,有陕西的目录电价文件吗？,文件检索
令狐,年用电量多少度可以参与电力交易吗？,业务咨询
RumblinWreck,陕西现在的目录电价是多少？,业务咨询
令狐,偏差考核有什么规定？,文件检索
RumblinWreck,我们的最大需量是多少？一般发生在什么时候？,业务咨询
肥牛,用户可以通过哪些方式查询用电情况,用电查询
肥牛,有陕西供电公司下发的文件吗？,文件检索
肥牛,有重庆供电公司下发的文件吗？,文件检索
nicholas,电力监控系统监控哪些参数？,业务咨询
黄思成℃,四川这个月的交易公告出了吗,文件检索
肥牛,民用建筑机电工程项目投标需具备什么资质,业务咨询
nicholas,用电申请从提交资料到供电方案审批需要多长时间,业务咨询
肥牛,公司是否有10kV电力设计咨询服务？,业务咨询
令狐,充电桩业务坐吗？,业务咨询
令狐,关于充电桩有什么规定？,文件检索
令狐,这个月充电桩用了多少度电？,用电查询
令狐,除了成都，还可以做哪些城市的业务？,公司咨询
幸福在明天,昨天周交易的结果,文件检索
先森·®,办公室现在温度降低一度需要用多少电量,业务咨询
李家强,目前有多少客户？,业务咨询
李家强,最近几年的用电趋势？,业务咨询
李家强,月度用电规律性强吗？,业务咨询
李家强,近两年电价文件？,业务咨询
李家强,商业客户分项度电成本的标杆是多少？,业务咨询
李家强,工业客户分项度电成本的标杆是多少？,业务咨询
幸福在明天,下次月度交易是多久,业务咨询
幸福在明天,这个月有月度交易吗,业务咨询
幸福在明天,这个月有几次周交易,业务咨询
幸福在明天,上次月度交易我买了多少电,业务咨询
幸福在明天,这个月用电情况咋样,业务咨询
幸福在明天,这个月用电多少度,业务咨询
幸福在明天,你估计我这个月用多少电,业务咨询
幸福在明天,我还需要买多少电,业务咨询
幸福在明天,周交易咋个安排的,文件检索
幸福在明天,周交易怎么安排的,文件检索
露露,我上个月电是不是用多了,业务咨询
露露,今天用了多少电,用电查询
令狐,2016年四川关于电价的文件有哪些？,文件检索
李家强,2018年四川功率因数鼓励政策,文件检索
露露,你们的主营业务是什么,公司咨询
令狐,我需要电量考核相关的文件。,文件检索
露露,最新的电力市场交易政策是怎样的,文件检索
治宇,长江机械高变有多少台？,文件检索
令狐,富余电量交易规则是怎么样的？,文件检索
令狐,留存电量交易规则是怎么样的？,文件检索
令狐,电能替代可以参与市场交易吗？,文件检索
令狐,你们公司可以做合同电量转让交易吗？,业务咨询
令狐,跨省跨区交易可以做吗？,业务咨询
令狐,有哪些辅助服务交易？,业务咨询
治宇,目前能做哪些设备异常监测,业务咨询
令狐,年度交易校核原则是什么？,文件检索
令狐,月度交易校核原则是什么？,文件检索
治宇,请介绍一下富余电量,文件检索
白宇涵🙆,请介绍一下主营业务,业务咨询
露露,现在公司规模多少,公司咨询
露露,9号文政策解读,文件检索
猪蜜,请查询一下昨天的平均有功功率,用电查询
猪蜜,请查询一下昨天的平均无功功率,用电查询
令狐,可以下载省电力公司发的108号文吗,文件检索
Y。,公司主营业务是什么？,公司咨询
老饕老餮,公司APP有哪些功能，即将上线的功能有哪些,公司咨询
李家强,四川省基本电费政策,文件检索
幸福在明天,成都辅助服务有什么政策奖励,文件检索
幸福在明天,你们做agc调频服务吗,业务咨询
幸福在明天,四川下次月度市场有啥公告,文件检索
肥牛,电动汽车充电桩的收费模式有哪些,业务咨询
李家强,机械制造行业是否有节能案列,业务咨询
令狐,我公司上月少用考核电量是多少？,用电查询
治宇,负载率如何计算,业务咨询
蜗牛也是牛,同沟电缆载流量如何计算,业务咨询
幸福在明天,你们有啥月度竞价策略,业务咨询
治宇,你们平台有哪些售电公司,公司咨询
幸福在明天,四川跨省交易有啥新政策,文件检索
幸福在明天,月度市场信息披露,文件检索
幸福在明天,月度市场交易公告,文件检索
李家强,目前哪些省设计跨省跨区交易,文件检索
李家强,目前哪些省份涉及跨省跨区交易,文件检索
李家强,陕西省售电政策文件,文件检索
李家强,来福士五一用电量,用电查询
王雷辉,今年四川电力供需形势怎么样,文件检索
李家强,来福士今年所有节假日用电情况,用电查询
黄山,哪些发电企业具备跨省跨区交易资格,业务咨询
黄山,打破省间跨区交易壁垒的法规政策,文件检索
黄山,目前跨区交易的规模有多大,文件检索
黄山,售电公司参与跨区交易的资格,文件检索
黄山,负荷预测在什么前提下做的比较精准,业务咨询
治宇,这月周交易时间,业务咨询
幸福在明天,你们如何帮我购电,业务咨询
幸福在明天,你们万益能源弄啥的,业务咨询
幸福在明天,这两天用了多电,用电查询
幸福在明天,昨天停了几个小时电,用电查询
幸福在明天,今天用电高峰出现在哪个时间,用电查询
幸福在明天,上周那一天用电量大,业务咨询
憨笑米兔,请问你们都提供哪些服务,业务咨询
幸福在明天,上周那天用电量较大,用电查询
憨笑米兔,用电采集怎么收费,业务咨询
幸福在明天,5月分用电量多少,业务咨询
幸福在明天,5月份用电量多少,用电查询
幸福在明天,我们5月份用电量,用电查询
幸福在明天,你们公司咋联系,公司咨询
治宇,全国火电能效水平标杆,文件检索
幸福在明天,2017年7月富裕电量交易公告,文件检索
幸福在明天,2017年8月富裕电量交易公告,文件检索
幸福在明天,2017年6月富裕电量交易公告,文件检索
幸福在明天,2017年9月富裕电量交易公告,文件检索
幸福在明天,2017年10月富裕电量交易公告,文件检索
幸福在明天,2017年11月富裕电量交易公告,文件检索
幸福在明天,2017年12月富裕电量交易公告,文件检索
幸福在明天,2017年12月月度交易公告,文件检索
幸福在明天,2017年11月月度交易公告,文件检索
幸福在明天,2017年10月月度交易公告,文件检索
幸福在明天,2017年9月月度交易公告,文件检索
幸福在明天,2017年8月月度交易公告,文件检索
幸福在明天,2017年7月月度交易公告,文件检索
幸福在明天,2017年6月月度交易公告,文件检索
幸福在明天,2017年5月月度交易公告,文件检索
治宇,你们公司有工程安装资质吗,公司咨询
黄渲博,17年电能替代有啥政策,文件检索
黄渲博,18年电能替代有没有新政策,文件检索
黄渲博,云南这个月直接交易结果,文件检索
黄渲博,四川集中交易交易结果,文件检索
黄渲博,四川今年双边交易结果,文件检索
黄渲博,四川水电厂发电计划,文件检索
黄渲博,广东现货市场有啥文件,文件检索
黄渲博,你们参加广东市场不,业务咨询
黄渲博,云南售电公司想找你们合作，有啥合作方式,公司咨询
黄渲博,你们公司是不是在来福士广场,公司咨询
黄渲博,我们厂有没得用电异常,用电查询
黄渲博,云南这个月市场交易信息披露,文件检索
黄渲博,云南6月电力交易月报,文件检索
黄渲博,你们负荷预测精度有多高,业务咨询
黄渲博,你们做负荷预测需要什么,业务咨询
李家强,通常多久时间能给出节能方案,业务咨询
李家强,空调节能方案需要提供什么信息,业务咨询
李家强,采集数据的电表有什么要求,业务咨询
李家强,采集数据电表更换的报价,业务咨询
李家强,18年春节用电量,用电查询
李家强,18年春节期间用电量和17年用电量的差异,用电查询
瞿丹,你们做售电业务吗,公司咨询
瞿丹,最新的结算规则是什么,文件检索
李家强,四川直购电水火电比例分配,业务咨询
李家强,你们公司电话多少,公司咨询
jqLi,昨天用电,数据查询
稍。,你们公司地址在哪？,公司咨询
稍。,上个星期3到星期2，来福士空调用了多少电？,数据查询
令狐,几级资质？,公司咨询
令狐,你们可以做什么？,公司咨询
令狐,如何购电？,公司咨询
令狐,怎么交电费？,公司咨询
令狐,可以做多少电压等级的项目？,公司咨询
令狐,待遇怎么样啊？,公司咨询
黄志峰,公司产品有哪些,公司咨询
令狐,可以办理手续吗？,公司咨询
黄思成℃,15年以后国家关于辅助服务的补偿措施有哪些文件,政策咨询
郭超,5月四川交易中心常规直接交易品种的成交价成交电量,数据查询
治宇,目前峰谷电价价格,
jqLi,峰平谷时段,数据查询
jqLi,目前丰水期和枯水期,数据查询
黄思成℃,5月3日晚上7点到11点来福士的空调用电量是多少,数据咨询
稍。,目前峰平谷时段如何划分,数据查询
令狐,可以总承包吗？,公司咨询
稍。,高压数据采集能为企业提供什么服务,公司咨询
令狐,云南能做吗？,公司咨询
稍。,低压数据采集能为企业提供什么服务,公司咨询
王俊程,一度电多少钱,数据查询
黄山,服务能力如何,业务咨询
幸福在明天,17年6月的月度交易结果,政策查询
幸福在明天,17年6789月的月度交易结果,政策查询
王俊程,万益能源是一个什么样的公司,公司咨询
王俊程,华宇电力是一个什么样的公司,公司咨询
令狐,你们服务很及时,表扬
令狐,知瑞很帅,表扬
王俊程,来福士有什么好吃的,咨询
稍。,万益最帅的是叶超,常识
令狐,叶超好瘦,闲聊
王俊程,叶超多吃点,建议
令狐,听说令狐体重没过百。,闲聊
幸福在明天,月度交易啥时候开展,政策查询
先森·®,最帅的人还在工作,真话
王俊程,hello,打招呼
稍。,今天天气不错哦,打招呼
王俊程,你们公司真是高大上,表扬
令狐,您吃了吗？,打招呼
jqLi,储能政策,文件检索
令狐,走，吃火锅去。,打招呼
jqLi,来福士最近一周峰期用电占比,数据查询
令狐,回见了您嘞,再见
稍。,令狐减肥五斤成功，举公司欢庆,表扬
jqLi,长江机械电压等级,数据查询
令狐,我们公司这个月平均电量多少？,数据查询
令狐,小益，帮我查下这个月最大电量。,数据查询
令狐,请你们业务经理给我联系！,留言
jqLi,查一下采集设备个数,数据查询
jqLi,近一月单耗查询,数据查询
令狐,小益，看看高配温度多高？空调启动没？,数据查询
令狐,这个月电费多少,数据查询
幸福在明天,我这个月用了多少电,数据查询
幸福在明天,华宇这个月用了多少电,数据查询
幸福在明天,他这个月用了多少电,数据查询
幸福在明天,我这个月电梯用了多少电,数据查询
幸福在明天,来福士空调开的几度,数据查询
令狐,萨瓦迪卡！,打招呼
令狐,hi,打招呼
幸福在明天,这个月电费咋这么多[机智][机智][机智][机智][皱眉],数据查询
syl,你怎么这么牛逼呢,表扬
幸福在明天,今年5月的月度交易公告,文件检索
令狐,[勾引][勾引],打招呼
syl,公司的主要业务,公司咨询
令狐,数据错了！！,否定
令狐,怎么搞的啊,否定
令狐,方案不错！,肯定
令狐,价格很实在,肯定
幸福在明天,今年计划电量是多少,数据查询
幸福在明天,华宇计划电量咋分配的,数据查询
李家强,偏差预估？,数据查询
幸福在明天,你莫得表情包,打招呼
令狐,智能运维的优势,公司咨询
杨总杨淮年,智能运维的优势,公司咨询
憨笑米兔,四川省结算电价有哪些品类,政策_文件检索
郭超,四川结算规则文件,文件检索
令狐,商业电价和居民电价有啥区别。,政策_文件检索
迟景华,最近供电设备运行状态如何？,业务咨询
一笑而过,电力安全生产年。,四川省能源办
陈德靖,年检预试怎么收费,业务咨询
令狐,电缆调试做吗？,业务咨询
令狐,变电站运行多少钱？,业务咨询
李家强,业务有生命周期管理吗？,业务咨询
陈德靖,抢修工作哪个部门在负责,公司咨询
令狐,好久可以组织活动啊,闲聊
令狐,世界杯开始了去约酒哇[偷笑],闲聊
陈德靖,甲米热不热？,闲聊
令狐,好久去踢球哇？,闲聊
陈德靖,可以安装充电桩吗,业务咨询
令狐,可以做储能电池吗,业务咨询
陈德靖,储能电池的品牌有哪些,业务咨询
陈德靖,华宇电力安全年活动,文件检索
陈德靖,JR今天是不是买了勇士赢,闲聊
ONE,MAN,PUNCH
陈德靖,国家能源局安全年,文件检索
陈德靖,齐达内为什么叫齐祖,闲聊
陈德靖,马特拉奇对齐达内说了什么,闲聊
陈德靖,齐达内会来中超吗,闲聊
令狐,队长好棒！,表扬
陈德靖,令狐做菜太好吃了,表扬
陈德靖,想念玄哥,表扬
一笑而过,多带点中国烟[悠闲],旅游
RumblinWreck,参与市场购电有什么风险,业务咨询
令狐,地铁可以到你们公司吗？开车怎么停车？,业务咨询
林静,文件检索,今年四川的政策文件
林静,公司咨询,你们公司在哪？
治宇,文件检索,四川跨省跨区文件
一笑而过,文件检索,隐患排查治理工作报告
